客户编号,套餐品牌,信用等级,是否使用4GUSIM卡,是否4G资费,网龄,当月ARPU,当月MOU,当月DOU,终端使用时间（月）,当月省内漫游时长,当月省际漫游时长,营销是否成功
3741,2,5,1,1,171,159.18,816,1133213,6,6,0,0
10223,2,5,1,0,172,159.18,2545,186925,4,82,137,1
10499,2,5,0,0,189,159.17,789,175999,15,0,0,1
14317,2,5,0,0,204,159.15,841,16664,27,0,0,0
15710,2,5,0,0,193,159.15,1227,25,14,0,0,0
9357,2,5,1,1,190,159.12,2280,129148,21,1,85,1
15804,2,5,0,0,191,159.12,685,147917,4,4,0,1
10728,2,5,0,0,160,159.1,1619,805,19,0,0,0
16389,2,5,0,0,179,159.1,2727,101722,3,17,0,1
6574,2,5,1,1,193,159.07,1288,249315,11,0,25,0
2285,2,5,1,1,186,159.05,861,147459,1,0,0,1
2822,2,5,0,1,181,159.04,951,186190,32,3,15,1
1588,2,5,1,1,193,159.03,1266,234880,14,21,0,1
5459,1,4,1,0,160,159.03,757,257619,6,74,18,1
13012,2,5,0,0,173,159.03,1386,89509,11,22,0,1
4582,2,5,1,1,164,158.99,1572,322354,8,0,0,0
5076,2,5,1,1,160,158.99,1106,242893,1,0,0,0
5352,1,5,1,1,193,158.99,1091,147475,9,0,0,0
13553,2,5,0,0,189,158.97,0,11875,6,0,0,0
5199,2,5,1,1,159,158.96,1019,815367,22,0,0,1
6592,2,5,1,0,213,158.94,127,0,28,0,0,0
3757,2,5,0,1,178,158.93,613,179847,18,0,0,1
178,2,5,1,1,212,158.91,1444,131623,28,20,0,1
4109,2,5,0,1,167,158.9,1519,174737,4,0,0,1
1260,2,5,1,1,198,158.86,1161,95932,4,207,173,0
10209,2,5,1,0,176,158.84,1021,0,13,0,0,1
14227,2,5,0,1,204,158.83,850,433614,22,8,0,0
3802,2,5,1,1,169,158.82,1099,79396,0,105,0,0
7904,2,4,1,0,173,158.81,382,195472,0,0,0,1
10520,2,5,0,0,185,158.8,508,0,6,1,29,1
10888,2,5,1,1,183,158.8,55,2143,10,0,37,0
13027,2,5,1,0,204,158.78,999,20878,13,0,0,0
765,2,5,1,1,211,158.77,548,949008,8,8,0,0
13681,2,5,0,0,203,158.76,907,0,21,19,35,0
3170,2,5,1,1,146,158.74,1425,817196,26,0,0,1
10406,2,5,0,0,201,158.74,1486,5205,33,211,0,0
9740,2,5,0,0,190,158.71,468,35733,14,0,0,0
1484,2,5,0,1,192,158.69,671,593200,8,5,316,1
833,2,5,1,1,200,158.68,1678,841190,1,15,0,0
12980,2,5,1,1,176,158.64,532,42635,19,0,0,0
16265,2,5,0,0,183,158.63,1062,12976,21,54,0,0
4128,2,5,1,1,168,158.62,1223,737754,4,0,0,0
3455,2,4,1,1,174,158.61,707,1733201,4,58,0,0
3373,2,4,1,1,174,158.59,1016,662598,2,0,0,0
3581,2,5,1,1,146,158.59,2588,292860,14,1,23,1
673,2,5,1,1,213,158.57,447,583931,3,0,447,0
13578,2,5,1,0,189,158.56,1447,15,0,149,0,1
2774,2,5,1,1,180,158.52,1207,629352,8,0,0,0
9812,2,5,1,0,192,158.51,283,195088,4,15,62,0
11474,2,5,1,0,188,158.5,1087,95016,31,14,0,1
12633,2,5,0,0,201,158.5,1431,197317,27,55,0,1
16939,2,5,1,0,165,158.48,1088,0,9,0,0,0
13938,2,5,0,1,168,158.47,1471,37,0,0,0,0
13618,2,5,1,1,187,158.45,616,426328,30,2,0,1
12000,2,5,0,0,188,158.42,1957,18355,19,80,0,0
8080,2,5,0,0,187,158.39,1393,36547,40,98,0,0
4564,2,5,1,1,164,158.37,1464,301809,0,944,0,0
1149,2,5,1,1,199,158.31,1895,156902,1,0,0,0
3649,2,5,1,1,172,158.28,1620,136125,17,46,0,1
17217,2,5,0,0,197,158.28,832,0,35,101,5,1
10631,2,5,1,0,173,158.26,1901,260695,13,0,0,1
16156,2,5,0,0,183,158.26,1378,0,11,40,0,0
1710,2,5,1,1,191,158.25,733,44630,30,0,0,0
6466,1,5,0,0,183,158.21,866,199215,43,53,68,1
4043,2,5,1,1,166,158.19,1218,125969,10,861,0,1
13672,2,5,1,1,185,158.19,844,74958,2,5,373,0
14816,2,5,0,0,171,158.19,1434,119977,37,103,0,1
667,2,5,1,1,207,158.16,725,439599,8,0,85,0
8479,2,5,0,0,161,158.16,220,172475,2,0,220,1
5143,2,5,1,1,159,158.14,1800,282370,21,0,0,1
4111,2,5,1,1,196,158.12,2344,94514,37,283,0,1
4222,2,5,1,1,165,158.1,947,168792,17,94,0,1
8086,2,5,1,1,182,158.1,1398,72897,21,63,49,0
18897,3,4,0,0,176,158.08,747,15652,3,13,0,0
16023,2,5,0,0,185,158.05,1240,74639,16,22,0,1
17524,3,5,1,1,189,158.03,1933,354469,2,63,0,0
48,2,5,1,1,204,158.02,1272,168126,13,15,0,1
3218,2,5,1,1,177,158.02,1166,302398,1,7,16,0
16904,2,5,0,0,165,157.99,719,119377,8,0,64,1
518,2,5,1,1,202,157.93,828,114266,14,0,0,1
10505,2,5,0,0,189,157.93,1010,138836,3,82,470,0
13317,2,5,1,1,210,157.93,738,111415,1,17,0,0
14081,2,5,0,0,160,157.93,797,319125,34,2,606,1
2828,2,5,1,1,181,157.92,1214,294187,1,0,0,0
449,2,5,0,1,218,157.91,1251,150218,13,0,0,1
5274,2,5,0,1,185,157.82,1127,236824,2,228,0,0
8669,2,5,0,1,182,157.81,815,811717,11,3,0,1
13055,2,5,0,1,169,157.75,1158,448337,12,0,0,1
13297,2,5,0,0,212,157.75,1887,82675,9,53,0,0
14119,2,5,0,1,177,157.75,604,468999,22,58,440,1
16724,2,5,1,1,183,157.75,855,168488,1,8,0,0
15368,2,5,1,1,199,157.73,867,0,0,0,0,0
14217,2,5,0,0,160,157.72,854,341168,11,0,0,1
3567,2,5,1,1,173,157.7,305,838694,3,25,0,0
2036,2,5,1,1,188,157.69,676,135956,12,17,0,1
12532,2,5,0,0,228,157.64,1098,230605,19,28,288,1
9638,2,5,0,0,176,157.62,172,18617,62,162,0,0
2272,2,5,1,1,185,157.6,1712,450842,2,104,0,0
8719,2,5,0,0,203,157.6,1152,20727,14,104,55,0
13896,2,5,1,0,176,157.6,1189,2558,23,121,0,0
15376,2,5,0,0,200,157.6,852,7,34,9,0,1
16344,2,5,0,0,203,157.58,1197,29,42,47,0,1
3748,2,5,1,1,181,157.57,1237,185493,7,0,0,1
10089,2,5,1,0,193,157.56,1199,77440,10,0,0,1
13229,2,5,1,0,217,157.56,1979,0,4,51,0,0
13453,2,5,0,0,197,157.55,1822,10810,11,203,0,0
16078,2,5,0,0,220,157.54,977,2096,42,1,0,0
3574,2,5,0,1,146,157.46,772,207453,0,0,0,0
17470,3,5,1,1,195,157.46,924,150863,15,143,53,1
13478,2,5,1,0,194,157.44,1972,100786,6,0,0,1
14665,2,5,1,1,181,157.44,1726,1065492,4,33,0,0
6775,2,5,0,0,201,157.42,813,88545,16,82,42,0
3842,2,5,1,1,168,157.39,1136,388498,0,0,0,0
1053,2,5,1,1,197,157.38,2492,54678,15,204,37,0
4381,2,5,1,1,165,157.37,644,584493,9,3,162,0
10057,2,5,0,0,198,157.37,933,49509,0,5,37,0
13934,2,5,1,1,169,157.36,886,298665,36,21,0,1
4411,2,5,1,1,164,157.34,791,67301,22,2,0,0
4450,2,5,1,1,164,157.32,1930,192380,20,0,0,0
1349,2,5,1,1,193,157.3,1098,109077,16,12,40,1
2703,2,5,1,1,183,157.3,1381,68186,4,38,65,1
1663,2,5,1,1,191,157.29,1238,193696,11,23,16,0
3986,2,5,1,1,169,157.26,1059,69198,13,0,0,0
10149,2,5,0,0,183,157.24,354,504,4,138,0,1
10174,2,5,0,0,178,157.24,1247,84192,28,0,0,1
16452,2,5,0,0,177,157.23,1180,69455,40,0,12,1
